ctry_year,CAgdp,STDebt/Res,FXimp,CPI,Taxgdp,InterestRev,RGDPyy,GDPppp,GDPpc,FX,FXchg,CG_DEBT_GDP,default_amount,default,fx_grade,lc_grade,tc_rating,country,year,default_lag1,cluster,fx_numeric,rating_binary,pca1,pca2
ABW_2008,0.00393003,40.729753527272734,1.18599,8.95599,17.880117544833485,8.258650358263305,1.83576,3926180000.0,28171.9,1.79,0.0,38.0050913350363,0,0.0,A-,A-,A-,ABW,2008,0.0,0,7.0,0,0.845773049745701,0.12915392515734278
ABW_2009,6.72239,33.72739776181818,2.50265,-2.13543,16.699570780127605,9.163483568067225,-11.6777,3489080000.0,25134.8,1.79,0.0,42.21043464929234,0,0.0,A-,A-,A-,ABW,2009,0.0,0,7.0,0,1.4281865681767631,1.2993418966497903
ABW_2010,-18.7525,33.39050505172413,3.76355,2.07814,16.473962535616025,8.799261065024941,-2.73346,3434950000.0,24093.1,1.79,0.0,43.6412071454454,0,0.0,A-,A-,A-,ABW,2010,0.0,0,7.0,0,0.040150254132547004,0.9565493659253174
ABW_2011,-9.87766,35.303329616666666,1.17472,4.3163,16.756526669114375,8.576916961722295,3.36924,3623930000.0,25712.4,1.79,0.0,44.94051543098779,0,0.0,A-,A-,A-,ABW,2011,0.0,0,7.0,0,0.32135897521375245,0.3673846734713112
ABW_2012,3.47345,41.1588858,3.05345,0.627472,16.77763492612372,8.648076384619493,-1.0408,3549700000.0,25119.7,1.79,0.0,46.701073532276645,0,0.0,A-,A-,A-,ABW,2012,0.0,0,7.0,0,0.973627152598242,0.5304187741541749
ABW_2013,-11.8132,43.78218693548387,3.18146,-2.37207,16.710827029051988,8.627435947968547,6.43148,3793910000.0,25813.6,1.79,0.0,48.788575368837556,0,0.0,BBB+,BBB+,BBB+,ABW,2013,0.0,0,8.0,0,0.27204917467797535,0.32246278060484723
ABW_2014,-4.65858,45.14892904761904,3.39214,0.421441,16.77721287121212,8.516764941532466,-1.58658,3808450000.0,26129.8,1.79,0.0,51.00657164756608,0,0.0,BBB+,BBB+,BBB+,ABW,2014,0.0,0,8.0,0,0.5556322574011687,0.9377943347882933
ABW_2015,3.99414,44.76772015384615,4.24241,0.474764,16.569269151190475,8.811411000165817,-0.623626,3881690000.0,27458.2,1.79,0.0,54.62934313633909,0,0.0,BBB+,BBB+,BBB+,ABW,2015,0.0,0,8.0,0,0.8736537536977129,0.6918499021224972
ABW_2016,4.73178,42.258058030303026,5.03557,-0.931196,16.649725761517832,9.006543327457763,1.71962,3926950000.0,27441.5,1.79,0.0,56.68592985948937,0,0.0,BBB+,BBB+,BBB+,ABW,2016,0.0,0,8.0,0,0.8762747694759015,0.4937658546271493
ABW_2017,1.1198,40.178688880597015,4.80169,-1.02828,16.58983464942344,8.84019488691499,7.04853,4080270000.0,28440.1,1.79,0.0,56.33399720731335,0,0.0,BBB+,BBB+,BBB+,ABW,2017,0.0,0,8.0,0,0.6697473563048187,0.10634289016139885
ABW_2018,-0.591367,40.661991691176475,4.61717,3.62604,16.592979145413654,9.036400246098598,2.39709,4278670000.0,30082.1,1.79,0.0,55.447899842301524,0,0.0,BBB+,BBB+,BBB+,ABW,2018,0.0,0,8.0,0,0.5103919077407815,0.5723667255869948
